experiment_key,Accuracy,Precision,Recall,F1_Score
SKAB_seed_7_fold_5_Automata_original,0.6346408109299251,0.2838983050847458,0.043059125964010285,0.07477678571428571
SKAB_seed_7_fold_5_LSTM_noisy,0.6115155526141628,0.14042553191489363,0.0207286432160804,0.0361247947454844
SKAB_seed_7_fold_5_GRU_noisy,0.628060886829914,0.22988505747126436,0.02512562814070352,0.045300113250283124
SKAB_seed_7_fold_5_CNN1D_noisy,0.4529009485991617,0.3134453781512605,0.4685929648241206,0.3756294058408862
SKAB_seed_7_fold_5_Automata_noisy,0.618774790656677,0.2898550724637681,0.07712082262210797,0.1218274111675127
SKAB_seed_7_fold_5_Automata_unseen,0.6346408109299251,0.2838983050847458,0.043059125964010285,0.07477678571428571
SKAB_seed_999_fold_1_LSTM_original,0.6768578442311984,0.7702702702702703,0.1090561224489796,0.19106145251396647
SKAB_seed_999_fold_1_GRU_original,0.6748493639812542,0.7605633802816901,0.10331632653061225,0.18192026951151039
SKAB_seed_999_fold_1_CNN1D_original,0.6453916536487391,0.452914798206278,0.06441326530612244,0.11278615298715801
SKAB_seed_999_fold_1_Automata_original,0.6555951850200624,0.3142857142857143,0.007180156657963447,0.014039566049776643
SKAB_seed_999_fold_1_LSTM_noisy,0.6467306404820352,0.453416149068323,0.046556122448979595,0.08444187391555813
SKAB_seed_999_fold_1_GRU_noisy,0.6467306404820352,0.45454545454545453,0.04783163265306122,0.08655510675129832
SKAB_seed_999_fold_1_CNN1D_noisy,0.5596964963177862,0.3154056517775752,0.22066326530612246,0.25966228893058163
SKAB_seed_999_fold_1_Automata_noisy,0.6558181007579135,0.3235294117647059,0.007180156657963447,0.0140485312899106
SKAB_seed_999_fold_1_Automata_unseen,0.6555951850200624,0.3142857142857143,0.007180156657963447,0.014039566049776643
SKAB_seed_999_fold_2_LSTM_original,0.752501667778519,0.8012987012987013,0.39124920735573876,0.5257775884107371
SKAB_seed_999_fold_2_GRU_original,0.6326439848788081,0.40458015267175573,0.10082435003170577,0.16142131979695432
SKAB_seed_999_fold_2_CNN1D_original,0.7827440515899489,0.9823151125401929,0.3874445149017121,0.5557071396089132
SKAB_seed_999_fold_2_Automata_original,0.6532652154597957,0.08333333333333333,0.0012978585334198572,0.0025559105431309905
SKAB_seed_999_fold_2_LSTM_noisy,0.6804536357571714,0.6129032258064516,0.24096385542168675,0.3459262630860264
SKAB_seed_999_fold_2_GRU_noisy,0.6977985323549033,0.6656534954407295,0.2777425491439442,0.3919463087248322
SKAB_seed_999_fold_2_CNN1D_noisy,0.7456081832332666,0.9758241758241758,0.28154724159797084,0.43700787401574803
SKAB_seed_999_fold_2_Automata_noisy,0.6486006219458018,0.2191780821917808,0.010382868267358857,0.01982651796778191
SKAB_seed_999_fold_2_Automata_unseen,0.6532652154597957,0.08333333333333333,0.0012978585334198572,0.0025559105431309905
SKAB_seed_999_fold_3_LSTM_original,0.5455758114717653,0.13153153153153152,0.044648318042813454,0.06666666666666667
SKAB_seed_999_fold_3_GRU_original,0.5375722543352601,0.12605042016806722,0.045871559633027525,0.06726457399103139
SKAB_seed_999_fold_3_CNN1D_original,0.5113383726100489,0.2690730106644791,0.20061162079510703,0.22985283812193413
SKAB_seed_999_fold_3_Automata_original,0.6382411725516323,0.32558139534883723,0.017510944340212633,0.03323442136498516
SKAB_seed_999_fold_3_LSTM_noisy,0.5711427301022677,0.2629032258064516,0.09969418960244648,0.14456762749445676
SKAB_seed_999_fold_3_GRU_noisy,0.5653623832814584,0.23154362416107382,0.08440366972477065,0.12371134020618557
SKAB_seed_999_fold_3_CNN1D_noisy,0.5646954201867497,0.35919790758500436,0.25198776758409785,0.29618979151689434
SKAB_seed_999_fold_3_Automata_noisy,0.608927381745503,0.11428571428571428,0.0150093808630394,0.026533996683250415
SKAB_seed_999_fold_3_Automata_unseen,0.6382411725516323,0.32558139534883723,0.017510944340212633,0.03323442136498516
SKAB_seed_999_fold_4_LSTM_original,0.6414667270258035,0.6146788990825688,0.08200734394124846,0.1447084233261339
SKAB_seed_999_fold_4_GRU_original,0.6582163875056587,0.8263157894736842,0.09608323133414932,0.17214912280701755
SKAB_seed_999_fold_4_CNN1D_original,0.6903576278859213,0.9182389937106918,0.17870257037943696,0.29918032786885246
SKAB_seed_999_fold_4_Automata_original,0.6323762152385259,0.325,0.016270337922403004,0.03098927294398093
SKAB_seed_999_fold_4_LSTM_noisy,0.6226799456767769,0.3987730061349693,0.0397796817625459,0.07234279354479689
SKAB_seed_999_fold_4_GRU_noisy,0.661611588954278,0.7836734693877551,0.1175030599755202,0.204364023416711
